Timestamp,"Do you want to be consider to win ₦2,000  airtime",Which of the following age groups do you fall into?,What is your marital status? ,What is your highest level of education?,Which one of the following best describes your current employment status?,Which of these range of monthly income do you belong?,Who in your household is responsible for the financial decisions?,"Do you have any dependents? By ‘dependent’, we mean ‘financially dependent’.","In terms of the property you live in, do you?",Where do you live?,What are your short-term financial goals (i.e. over the next two years)? Select all that apply,"Are you involved in informal money handling groups (e.g. informal savings groups, ajo, group lending)?",Have you ever taken out a loan?,Which of the following lending institutions are you aware of?,Which of the following have you taken a loan from?,What are the main reasons that would make you take out a loan?,What loan are you most likely to use for starting a new business?,Which of the following is the single biggest challenge when taking out a loan?,What data will you be willing to give out for credit scoring as part of your loan application process?,What are your biggest barriers to taking a loan?,What are the three most important qualities you look out for in a lender?,What is your preferred channel for taking out a loan?,"When thinking of lenders in Nigeria, which brand comes to mind first?",What are the main avenues you use to decide on which lender to go for?,What is your gender?,Identifier
44779.71689,Yes,18 - 24,Single,University education,Part-time employed,"N0 - N50,000",Myself only,None,Rent the property,Lagos,To grow my current business,No,Yes,Microfinance Banks,Microfinance Banks,To pay for school fees,Micro financing,Onboarding process,Home address,I don’t have a barrier,"Digital onboarding and experience, Security, trust, and discretion, Financial assistance and coaching",Mobile app,Irorun,"Word of mouth referrals, Face to face",Male,hd4kysseol
44779.74834,Yes,18 - 24,Single,University education,Student,"N0 - N50,000",Myself only,Other dependents (other than those listed above),Rent the property,North Central,"To grow my current business, To buy my first property, To generate multiple sources of income",No,Yes,"Commercial Banks, Microfinance Banks, Digital Lenders",None,"To meet a cash gap before next pay day, To pay for a medical need, To pay for school fees","Formal loan from a commercial bank, Family and friends","High interest rates, The risk of getting into debt","Bank statement, Guarantor details","The instability of the economy, Lack of the requirements to take out loan","Interest rates, Fees and service charge, Security, trust, and discretion, Financial assistance and coaching",Branch,Banks,Face to face,Male,wdq4tv8
44784.59874,Yes,25 - 34,Married,University education,Full-time employed,"N50,000 - N100,000",Myself only,Partner/Spouse,Own the property,Abuja,To increase the number of personal assets I own,No,Yes,"Commercial Banks, Money Lenders, Microfinance Banks, Informal Lenders (Ajo, Corporative), Digital Lenders","Commercial Banks, Money Lenders, Digital Lenders, Informal Lenders (Ajo, Corporative)","To meet a cash gap before next pay day, To expand your current business","Formal loan from a commercial bank, Micro financing, Digital lenders",Getting approval for the loan,"Home address, Work information, Salary details, Bank statement, Guarantor details",I don’t have a barrier,"Speed, Interest rates, Security, trust, and discretion",Website,Irorun,"Advertising, Direct marketing, Social media",Male,e3pbn0ar6h
44780.76678,Yes,18 - 24,Single,College education,Student,"N50,000 - N100,000",My partner plays a small role but it is mostly up to me,Parents,Own the property,North West,"To have my own business, To invest more than I am already investing, To leave Nigeria",No,Yes,Commercial Banks,Commercial Banks,To expand your current business,My own money,High interest rates,"Home address, Work information, Salary details, Bank statement",I don’t have a barrier,"Interest rates, Fees and service charge, Financial assistance and coaching",Mobile app,Irorun,Direct marketing,Male,qrn4timts8
44780.76351,Yes,25 - 34,Single,University education,Self-employed,"N50,000 - N100,000",My partner and I make joint decisions,Other dependents (other than those listed above),Rent the property,South West,"To have my own business, To increase the number of personal assets I own, To be able to invest, To pay my rent, To invest more than I am already investing, To secure my finances",Yes,Yes,"Money Lenders, Finance Houses, Digital Lenders","Money Lenders, Finance Houses, Digital Lenders","To pay for a medical need, To pay for school fees, To expand your current business","Formal loan from a commercial bank, Digital lenders, Family and friends","Onboarding process, High interest rates, The risk of getting into debt","Home address, Work information","Fear of debt, Fear of not having money to repay the loan","Speed, Interest rates, Convenience and customer service, Longevity in the market",Mobile app,Irorun,"Word of mouth referrals, Social media",Male,fpnis9w
44781.41078,Yes,25 - 34,Single,University education,Self-employed,"N0 - N50,000",Myself only,Parents,Rent the property,South South,To grow my current business,No,No,Money Lenders,None,To expand your current business,Digital lenders,Getting approval for the loan,Home address,"Lack of the requirements to take out loan, I don’t have a barrier",Speed,Website,Digital lenders,Social media,Male,1xd7u97
44780.6025,Yes,40 - 44,Married,University education,Self-employed,"Above N1,000,000",Myself only,Children under the age of 18,Own the property,North West,To grow my current business,No,Yes,"Commercial Banks, Money Lenders, Microfinance Banks, Digital Lenders",Money Lenders,To expand your current business,"Formal loan from a commercial bank, Family and friends",Getting approval for the loan,"Home address, Work information, Bank statement, Guarantor details","The instability of the economy, Fear of being embarrassed by the lender","Speed, Interest rates, Convenience and customer service",Mobile app,Fair and Ren money,"Advertising, Social media",Male,ryf6jg5
44780.74163,Yes,18 - 24,Single,College education,Part-time employed,"N50,000 - N100,000",My partner plays a small role but it is mostly up to me,Parents,Rent the property,Lagos,"To have my own business, To be able to invest, To pay my rent, To pay my fees",No,Yes,"Commercial Banks, Microfinance Banks, Digital Lenders","Microfinance Banks, Digital Lenders","To meet a cash gap before next pay day, To pay for a medical need",Micro financing,"Providing collateral, High interest rates","Home address, Work information, Salary details, Guarantor details",The instability of the economy,"Digital onboarding and experience, Interest rates, Fees and service charge, Convenience and customer service, Security, trust, and discretion",Branch,Fair money,"Advertising, Direct marketing",Female,80efrjg3bm
44779.71335,Yes,25 - 34,Single,Post-graduate education,Self-employed,"N0 - N50,000",Myself only,None,Live rent-free,South West,"To grow my current business, To be able to invest, To invest more than I am already investing, To generate multiple sources of income",No,No,"Commercial Banks, Microfinance Banks, Informal Lenders (Ajo, Corporative)",None,To expand your current business,Digital lenders,Getting approval for the loan,Guarantor details,Fear of debt,"Speed, Fees and service charge, Financial stability",Mobile app,Branch,Advertising,Male,6zu961uxcd
44791.86018,Yes,25 - 34,Married,University education,Full-time employed,"N50,000 - N100,000",My partner and I make joint decisions,Children under the age of 18,Rent the property,Lagos,To have my own business,Yes,Yes,"Commercial Banks, Money Lenders, Finance Houses, Microfinance Banks, Informal Lenders (Ajo, Corporative), Digital Lenders","Microfinance Banks, Digital Lenders","To meet a cash gap before next pay day, To pay for a medical need, To expand your current business","Formal loan from a commercial bank, Micro financing, Digital lenders",High interest rates,"Home address, Work information","Fear of debt, The instability of the economy, Lack of the requirements to take out loan, Fear of being embarrassed by the lender, Fear of not having money to repay the loan","Speed, Digital onboarding and experience, Brand of the lender, Convenience and customer service, Longevity in the market, Financial stability, Security, trust, and discretion",Mobile app,Fairmoney ,Advertising,Female,gcv0y05
44780.99348,Yes,18 - 24,Single,University education,Student,"N0 - N50,000",Myself only,None,Live with parents or guardian,South West,To secure my finances,No,Yes,Commercial Banks,None,To meet a cash gap before next pay day,Digital lenders,High interest rates,Bank statement,Lack of the requirements to take out loan,"Security, trust, and discretion",Mobile app,Fairmoney,Advertising,Male,3xp6cfb9by
44781.63225,Yes,25 - 34,Married,College education,Self-employed,"N100,000 - N300,000",My partner and I make joint decisions,None,Rent the property,Lagos,To grow my current business,No,Yes,Commercial Banks,Commercial Banks,To expand your current business,Micro financing,High interest rates,Home address,Fear of being embarrassed by the lender,"Speed, Financial stability, Financial assistance and coaching",Mobile app,Irorun loan app,Word of mouth referrals,Female,3wq2xp2
44783.1096,Yes,18 - 24,Single,College education,Self-employed,"N0 - N50,000",Myself only,None,Rent the property,Lagos,To grow my current business,No,Yes,Money Lenders,Money Lenders,To meet a cash gap before next pay day,Formal loan from a commercial bank,High interest rates,Home address,Fear of debt,"Speed, Fees and service charge, Convenience and customer service",Website,Anyone,Advertising,Female,g7h61a1
44781.36585,Yes,25 - 34,Married,College education,Full-time employed,"N50,000 - N100,000",My partner plays a small role but it is mostly up to me,None,Rent the property,Lagos,To have my own business,Yes,Yes,Commercial Banks,Commercial Banks,To start a new business,Formal loan from a commercial bank,Getting approval for the loan,Salary details,Fear of debt,"Speed, Interest rates, Brand of the lender",Agent,Bank,Face to face,Male,kkr0lpv7fl
44779.68848,Yes,25 - 34,Single,University education,Self-employed,"N50,000 - N100,000",My parents make the decision,Partner/Spouse,Rent the property,North West,To grow my current business,Yes,Yes,Microfinance Banks,"Informal Lenders (Ajo, Corporative)",To expand your current business,Micro financing,"High interest rates, The risk of getting into debt","Home address, Work information, Salary details, Bank statement, Guarantor details","Fear of debt, The instability of the economy","Convenience and customer service, Security, trust, and discretion, Financial assistance and coaching",Mobile app,Micro finance ,Word of mouth referrals,Male,seox82f21n
44780.08561,Yes,25 - 34,Married,College education,Full-time employed,"N50,000 - N100,000",My partner and I make joint decisions,None,Rent the property,South West,To have my own business,Yes,No,Commercial Banks,None,To meet a cash gap before next pay day,Formal loan from a commercial bank,Getting approval for the loan,Salary details,Fear of being embarrassed by the lender,"Fees and service charge, Convenience and customer service, Security, trust, and discretion",Mobile app,Nothing ,Social media,Male,k0tlfr8
